NAME,total_population,zipcode,zipcode_str
ZCTA5 90265,18028.0,90265,90265
ZCTA5 90266,35064.0,90266,90266
ZCTA5 90292,23931.0,90292,90292
ZCTA5 90304,26584.0,90304,90304
ZCTA5 90505,36820.0,90505,90505
ZCTA5 90640,62873.0,90640,90640
ZCTA5 90650,104524.0,90650,90650
ZCTA5 90002,53402.0,90002,90002
ZCTA5 90005,38885.0,90005,90005
ZCTA5 90011,110750.0,90011,90011
ZCTA5 93544,1086.0,93544,93544
ZCTA5 91506,17864.0,91506,91506
ZCTA5 91754,33343.0,91754,91754
ZCTA5 91765,46248.0,91765,91765
ZCTA5 91709,82800.0,91709,91709
ZCTA5 91731,30313.0,91731,91731
ZCTA5 91733,44908.0,91733,91733
ZCTA5 91741,26071.0,91741,91741
ZCTA5 91745,55394.0,91745,91745
ZCTA5 91768,35634.0,91768,91768
ZCTA5 91780,34854.0,91780,91780
ZCTA5 91792,29806.0,91792,91792
ZCTA5 91325,34637.0,91325,91325
ZCTA5 91326,36126.0,91326,91326
ZCTA5 91345,18825.0,91345,91345
ZCTA5 91356,30700.0,91356,91356
ZCTA5 91402,70702.0,91402,91402
ZCTA5 91436,16737.0,91436,91436
ZCTA5 91501,19459.0,91501,91501
ZCTA5 91605,52345.0,91605,91605
ZCTA5 91723,17664.0,91723,91723
ZCTA5 91740,26099.0,91740,91740
ZCTA5 91744,83396.0,91744,91744
ZCTA5 91746,29876.0,91746,91746
ZCTA5 91750,34468.0,91750,91750
ZCTA5 91759,351.0,91759,91759
ZCTA5 93535,74944.0,93535,93535
ZCTA5 93510,7433.0,93510,93510
ZCTA5 91766,71189.0,91766,91766
ZCTA5 91767,50493.0,91767,91767
ZCTA5 91770,63177.0,91770,91770
ZCTA5 91776,38675.0,91776,91776
ZCTA5 93543,14605.0,93543,93543
ZCTA5 91403,25837.0,91403,91403
ZCTA5 91411,24893.0,91411,91411
ZCTA5 90242,41703.0,90242,90242
ZCTA5 90623,15624.0,90623,90623
ZCTA5 90630,49378.0,90630,90630
ZCTA5 90713,27905.0,90713,90713
ZCTA5 90715,20505.0,90715,90715
ZCTA5 90716,14170.0,90716,90716
ZCTA5 90717,20919.0,90717,90717
ZCTA5 90731,60813.0,90731,90731
ZCTA5 90744,56450.0,90744,90744
ZCTA5 90746,27458.0,90746,90746
ZCTA5 90822,133.0,90822,90822
ZCTA5 90008,31900.0,90008,90008
ZCTA5 90013,13009.0,90013,90013
ZCTA5 90016,46340.0,90016,90016
ZCTA5 90017,27832.0,90017,90017
ZCTA5 90036,38111.0,90036,90036
ZCTA5 90064,25988.0,90064,90064
ZCTA5 90065,47389.0,90065,90065
ZCTA5 90241,42759.0,90241,90241
ZCTA5 90248,11425.0,90248,90248
ZCTA5 90270,27127.0,90270,90270
ZCTA5 90275,41731.0,90275,90275
ZCTA5 91367,45074.0,91367,91367
ZCTA5 91006,32526.0,91006,91006
ZCTA5 91011,20174.0,91011,91011
ZCTA5 91201,22786.0,91201,91201
ZCTA5 91302,26961.0,91302,91302
ZCTA5 91381,19675.0,91381,91381
ZCTA5 91384,28833.0,91384,91384
ZCTA5 91405,56821.0,91405,91405
ZCTA5 91505,31139.0,91505,91505
ZCTA5 91607,31039.0,91607,91607
ZCTA5 91722,34951.0,91722,91722
ZCTA5 91748,46634.0,91748,91748
ZCTA5 91773,33703.0,91773,91773
ZCTA5 91304,53637.0,91304,91304
ZCTA5 91324,30995.0,91324,91324
ZCTA5 91335,80937.0,91335,91335
ZCTA5 91342,94432.0,91342,91342
ZCTA5 91343,65344.0,91343,91343
ZCTA5 91105,12648.0,91105,91105
ZCTA5 91016,41582.0,91016,91016
ZCTA5 91108,13175.0,91108,91108
ZCTA5 91204,18950.0,91204,91204
ZCTA5 91303,31024.0,91303,91303
ZCTA5 91306,50319.0,91306,91306
ZCTA5 91331,103683.0,91331,91331
ZCTA5 91604,34021.0,91604,91604
ZCTA5 91608,18.0,91608,91608
ZCTA5 91702,61464.0,91702,91702
ZCTA5 91024,10829.0,91024,91024
ZCTA5 91106,25205.0,91106,91106
ZCTA5 91107,33481.0,91107,91107
ZCTA5 91355,29371.0,91355,91355
ZCTA5 91401,40405.0,91401,91401
ZCTA5 91406,54309.0,91406,91406
ZCTA5 91423,32968.0,91423,91423
ZCTA5 93532,2637.0,93532,93532
ZCTA5 93550,75617.0,93550,93550
ZCTA5 93551,50978.0,93551,93551
ZCTA5 93563,419.0,93563,93563
ZCTA5 90305,15373.0,90305,90305
ZCTA5 90401,7079.0,90401,90401
ZCTA5 90402,11637.0,90402,90402
ZCTA5 90404,23107.0,90404,90404
ZCTA5 90670,16410.0,90670,90670
ZCTA5 90745,55567.0,90745,90745
ZCTA5 90806,41280.0,90806,90806
ZCTA5 90813,56726.0,90813,90813
ZCTA5 90001,58974.0,90001,90001
ZCTA5 90012,37268.0,90012,90012
ZCTA5 90034,56416.0,90034,90034
ZCTA5 90061,28755.0,90061,90061
ZCTA5 90066,58851.0,90066,90066
ZCTA5 90638,48704.0,90638,90638
ZCTA5 90712,30773.0,90712,90712
ZCTA5 90804,38151.0,90804,90804
ZCTA5 90807,32699.0,90807,90807
ZCTA5 90810,36657.0,90810,90810
ZCTA5 90501,42298.0,90501,90501
ZCTA5 90660,62507.0,90660,90660
ZCTA5 90704,4201.0,90704,90704
ZCTA5 90723,53949.0,90723,90723
ZCTA5 90803,32241.0,90803,90803
ZCTA5 90022,66168.0,90022,90022
ZCTA5 90019,62816.0,90019,90019
ZCTA5 90028,31385.0,90028,90028
ZCTA5 90037,67377.0,90037,90037
ZCTA5 90041,29888.0,90041,90041
ZCTA5 90048,21766.0,90048,90048
ZCTA5 91316,30412.0,91316,91316
ZCTA5 91504,27975.0,91504,91504
ZCTA5 93243,1513.0,93243,93243
ZCTA5 93523,3681.0,93523,93523
ZCTA5 93534,39798.0,93534,93534
ZCTA5 93553,1513.0,93553,93553
ZCTA5 90010,4108.0,90010,90010
ZCTA5 90024,52069.0,90024,90024
ZCTA5 90025,47438.0,90025,90025
ZCTA5 90029,36126.0,90029,90029
ZCTA5 90201,100512.0,90201,90201
ZCTA5 90031,39497.0,90031,90031
ZCTA5 90035,27725.0,90035,90035
ZCTA5 90063,53846.0,90063,90063
